factor,signal_date,exec_date,turnover,holding_count
Debt_to_Equity,20220128,20220207,1.0,880
Debt_to_Equity,20220228,20220301,0.019209039548022555,885
Debt_to_Equity,20220331,20220401,0.054932735426009,892
Debt_to_Equity,20220429,20220505,0.15470852017937223,885
Debt_to_Equity,20220531,20220601,0.11457174638487208,899
Debt_to_Equity,20220630,20220701,0.03314917127071819,905
Debt_to_Equity,20220729,20220801,0.10964912280701763,912
Debt_to_Equity,20220831,20220901,0.10629067245119302,922
Debt_to_Equity,20220930,20221010,0.024704618689581122,931
Debt_to_Equity,20221031,20221101,0.08858057630736389,937
Debt_to_Equity,20221130,20221201,0.026427061310782256,946
Debt_to_Equity,20221230,20230103,0.027196652719665336,956
Debt_to_Equity,20230131,20230201,0.012539184952977966,957
Debt_to_Equity,20230228,20230301,0.021806853582554582,963
Debt_to_Equity,20230331,20230403,0.041237113402061834,970
Debt_to_Equity,20230428,20230504,0.13505154639175254,965
Debt_to_Equity,20230531,20230601,0.08282208588957049,978
Debt_to_Equity,20230630,20230703,0.06072874493927131,988
Debt_to_Equity,20230731,20230801,0.08853118712273639,994
Debt_to_Equity,20230831,20230901,0.08691308691308695,1001
Debt_to_Equity,20230928,20231009,0.012948207171314747,1004
Debt_to_Equity,20231031,20231101,0.07845084409136047,1007
Debt_to_Equity,20231130,20231201,0.016831683168316812,1010
Debt_to_Equity,20231229,20240102,0.03356367226061209,1013
Debt_to_Equity,20240131,20240201,0.033431661750245756,1017
Debt_to_Equity,20240229,20240301,0.017681728880157233,1018
Debt_to_Equity,20240329,20240401,0.05196078431372546,1020
Debt_to_Equity,20240430,20240506,0.13235294117647056,1013
Debt_to_Equity,20240531,20240603,0.041216879293424935,1019
Debt_to_Equity,20240628,20240701,0.032321253672869685,1021
Debt_to_Equity,20240731,20240801,0.04603330068560232,1020
Debt_to_Equity,20240830,20240902,0.060665362035225066,1022
Debt_to_Equity,20240930,20241008,0.012720156555772993,1022
Debt_to_Equity,20241031,20241101,0.06640624999999997,1024
Debt_to_Equity,20241129,20241202,0.02921129503407982,1027
Debt_to_Equity,20241231,20250102,0.02529182879377433,1028
Debt_to_Equity,20250127,20250205,0.02906976744186048,1032
Debt_to_Equity,20250228,20250303,0.015503875968992262,1031
Debt_to_Equity,20250331,20250401,0.02904162633107452,1033
Debt_to_Equity,20250430,20250506,0.1306873184898354,1026
Debt_to_Equity,20250530,20250603,0.039728682170542616,1032
Debt_to_Equity,20250630,20250701,0.03953712632594019,1037
Debt_to_Equity,20250731,20250801,0.034648700673724726,1039
Debt_to_Equity,20250829,20250901,0.07795957651588066,1039
Debt_to_Equity,20250930,20251009,0.02689721421709898,1041
Debt_to_Equity,20251031,20251103,0.07766059443911794,1043
Debt_to_Equity,20251128,20251201,0.02109300095877277,1043
Debt_to_Equity,20251231,20260105,0.022900763358778616,1048
Debt_to_Equity,20260130,20260202,0.016190476190476172,1050
Debt_to_Equity,20260227,20260302,0.016159695817490497,1052
Debt_to_Equity,20260331,20260401,0.041785375118708425,1053
Debt_to_Equity,20260430,20260506,0.13257575757575757,1056
Debt_to_Equity,20260529,20260601,0.010387157695939557,1059
Debt_to_Equity,20260630,20260701,0.047169811320754734,1060
Dividend_Yield,20220128,20220207,1.0,609
Dividend_Yield,20220228,20220301,0.04590163934426228,610
Dividend_Yield,20220331,20220401,0.07540983606557375,608
Dividend_Yield,20220429,20220505,0.125,591
Dividend_Yield,20220531,20220601,0.2961082910321488,561
Dividend_Yield,20220630,20220701,0.3316582914572863,597
Dividend_Yield,20220729,20220801,0.22031249999999997,640
Dividend_Yield,20220831,20220901,0.08689024390243905,656
Dividend_Yield,20220930,20221010,0.0696969696969697,660
Dividend_Yield,20221031,20221101,0.06656580937972768,661
Dividend_Yield,20221130,20221201,0.04819277108433733,664
Dividend_Yield,20221230,20230103,0.0391566265060241,663
Dividend_Yield,20230131,20230201,0.03318250377073907,663
Dividend_Yield,20230228,20230301,0.04072398190045249,663
Dividend_Yield,20230331,20230403,0.05429864253393663,662
Dividend_Yield,20230428,20230504,0.09969788519637461,648
Dividend_Yield,20230531,20230601,0.29629629629629634,611
Dividend_Yield,20230630,20230703,0.3092621664050235,637
Dividend_Yield,20230731,20230801,0.17159763313609472,676
Dividend_Yield,20230831,20230901,0.07917888563049853,682
Dividend_Yield,20230928,20231009,0.0640465793304221,687
Dividend_Yield,20231031,20231101,0.057720057720057734,693
Dividend_Yield,20231130,20231201,0.07194244604316545,695
Dividend_Yield,20231229,20240102,0.07747489239598276,697
Dividend_Yield,20240131,20240201,0.08321377331420374,697
Dividend_Yield,20240229,20240301,0.05738880918220947,697
Dividend_Yield,20240329,20240401,0.07460545193687228,696
Dividend_Yield,20240430,20240506,0.11494252873563218,685
Dividend_Yield,20240531,20240603,0.2948905109489051,654
Dividend_Yield,20240628,20240701,0.34393063583815026,692
Dividend_Yield,20240731,20240801,0.23904382470119523,753
Dividend_Yield,20240830,20240902,0.09232769830949282,769
Dividend_Yield,20240930,20241008,0.08926261319534279,773
Dividend_Yield,20241031,20241101,0.12836970474967915,779
Dividend_Yield,20241129,20241202,0.08056265984654723,782
Dividend_Yield,20241231,20250102,0.0790816326530613,784
Dividend_Yield,20250127,20250205,0.07106598984771574,788
Dividend_Yield,20250228,20250303,0.05329949238578686,787
Dividend_Yield,20250331,20250401,0.05076142131979701,788
Dividend_Yield,20250430,20250506,0.08883248730964471,777
Dividend_Yield,20250530,20250603,0.19562419562419567,728
Dividend_Yield,20250630,20250701,0.2335164835164835,717
Dividend_Yield,20250731,20250801,0.14614343707713123,739
Dividend_Yield,20250829,20250901,0.09932885906040276,745
Dividend_Yield,20250930,20251009,0.09383378016085789,746
