factor,composite_factor,bucket,trade_date,daily_return,nav
Composite_Equal_D01,Composite_Equal,1,20220208,0.014001400363942179,1.0140014003639422
Composite_Equal_D01,Composite_Equal,1,20220209,0.014217503999425443,1.0284179693290396
Composite_Equal_D01,Composite_Equal,1,20220210,-0.004972437409304878,1.0233042253459466
Composite_Equal_D01,Composite_Equal,1,20220211,-0.017671106032687983,1.0052213078761607
Composite_Equal_D01,Composite_Equal,1,20220214,0.00270253655463258,1.0079379552061916
Composite_Equal_D01,Composite_Equal,1,20220215,0.005273703840259393,1.0132535214713057
Composite_Equal_D01,Composite_Equal,1,20220216,0.010124676569415179,1.0235123856590236
Composite_Equal_D01,Composite_Equal,1,20220217,0.0025991096757163284,1.0261726066038055
Composite_Equal_D01,Composite_Equal,1,20220218,0.00893252295707315,1.0353389169702136
Composite_Equal_D01,Composite_Equal,1,20220221,0.013469521760714146,1.0492844370420582
Composite_Equal_D01,Composite_Equal,1,20220222,-0.006651046894248589,1.0423055970458863
Composite_Equal_D01,Composite_Equal,1,20220223,0.01753297786591048,1.0605803180084066
Composite_Equal_D01,Composite_Equal,1,20220224,-0.019543613547714826,1.0398527461369378
Composite_Equal_D01,Composite_Equal,1,20220225,0.009847012309911243,1.0500921889286432
Composite_Equal_D01,Composite_Equal,1,20220228,0.0008208333825108252,1.0509541396520297
Composite_Equal_D01,Composite_Equal,1,20220301,0.007828779676095236,1.0591818280610457
Composite_Equal_D01,Composite_Equal,1,20220302,0.005096035492869132,1.0645794562502466
Composite_Equal_D01,Composite_Equal,1,20220303,-0.0032757899777824165,1.061092117536909
Composite_Equal_D01,Composite_Equal,1,20220304,-0.012693475878989464,1.0476231703375685
Composite_Equal_D01,Composite_Equal,1,20220307,-0.01657188909168358,1.0302620753488563
Composite_Equal_D01,Composite_Equal,1,20220308,-0.029318563539197557,1.0000562712307153
Composite_Equal_D01,Composite_Equal,1,20220309,-0.013108329460385097,0.9869472041484988
Composite_Equal_D01,Composite_Equal,1,20220310,0.01710891142134478,1.0038327964418192
Composite_Equal_D01,Composite_Equal,1,20220311,0.006410187718334949,1.0102675531048324
Composite_Equal_D01,Composite_Equal,1,20220314,-0.02470290110103798,0.985311013654896
Composite_Equal_D01,Composite_Equal,1,20220315,-0.04818659561222936,0.9378322302876317
Composite_Equal_D01,Composite_Equal,1,20220316,0.032031032682760405,0.967871965106921
Composite_Equal_D01,Composite_Equal,1,20220317,0.018071031722929197,0.9853624100921019
Composite_Equal_D01,Composite_Equal,1,20220318,0.01585233441165039,1.0009827045335518
