factor,trade_date,long_short_return
Debt_to_Equity,20220128,-0.010209283686427043
Debt_to_Equity,20220228,-0.08528946717885891
Debt_to_Equity,20220331,-0.028366368594906474
Debt_to_Equity,20220429,0.03234260031623774
Debt_to_Equity,20220531,0.024550674702358825
Debt_to_Equity,20220630,0.015877172280026955
Debt_to_Equity,20220729,-0.04360705808529494
Debt_to_Equity,20220831,-0.026375433039224752
Debt_to_Equity,20220930,0.08989976090490717
Debt_to_Equity,20221031,-0.0677715520655161
Debt_to_Equity,20221130,-0.0012594677407312058
Debt_to_Equity,20221230,0.028934048177389454
Debt_to_Equity,20230131,0.01809424045718547
Debt_to_Equity,20230228,0.03772007788040583
Debt_to_Equity,20230331,-0.033348102137341046
Debt_to_Equity,20230428,0.0695340063302374
Debt_to_Equity,20230531,-0.03002857382025584
Debt_to_Equity,20230630,-0.07910619870203353
Debt_to_Equity,20230731,0.02994512423233304
Debt_to_Equity,20230831,0.009313366812966782
Debt_to_Equity,20230928,0.004306352826541399
Debt_to_Equity,20231031,0.049481436365707135
Debt_to_Equity,20231130,0.016213027495213188
Debt_to_Equity,20231229,-0.11597993078362881
Debt_to_Equity,20240131,0.03501209171398645
Debt_to_Equity,20240229,0.012414422848152886
Debt_to_Equity,20240329,0.010244734465754309
Debt_to_Equity,20240430,-0.006527395573918987
Debt_to_Equity,20240531,0.02294277138831901
Debt_to_Equity,20240628,-0.027216376193728888
Debt_to_Equity,20240731,-0.026506961335395963
Debt_to_Equity,20240830,0.06670056431743104
Debt_to_Equity,20240930,-0.06786427982299392
Debt_to_Equity,20241031,0.06437684415012868
Debt_to_Equity,20241129,-0.018816234317829666
Debt_to_Equity,20241231,0.040106232381526
Debt_to_Equity,20250127,0.02374154017098154
Debt_to_Equity,20250228,0.022068505635114713
Debt_to_Equity,20250331,0.0046961483176111785
Debt_to_Equity,20250430,0.002544046934410786
Debt_to_Equity,20250530,0.004654808993998012
Debt_to_Equity,20250630,0.02286747766372469
Debt_to_Equity,20250731,0.0353710159189527
Debt_to_Equity,20250829,-0.014681921429793326
Debt_to_Equity,20250930,-0.019474375161344957
Debt_to_Equity,20251031,-0.008843079707989393
Debt_to_Equity,20251128,0.025180550492852456
Debt_to_Equity,20251231,0.009582018022984602
Debt_to_Equity,20260130,-0.020995037852269527
Debt_to_Equity,20260227,-0.020955409451998183
Debt_to_Equity,20260331,0.027199646225926473
Debt_to_Equity,20260430,0.0006446096755014022
Debt_to_Equity,20260529,0.07109461075524044
Debt_to_Equity,20260630,-0.007138718868675474
Dividend_Yield,20220128,-0.018322649634713233
Dividend_Yield,20220228,0.08303369381713463
Dividend_Yield,20220331,0.0901194648122378
Dividend_Yield,20220429,-0.05569792888784803
Dividend_Yield,20220531,-0.05558708885633079
Dividend_Yield,20220630,-0.0372188911649783
Dividend_Yield,20220729,0.0655540550804991
Dividend_Yield,20220831,0.04994916419459951
Dividend_Yield,20220930,-0.10195144058650268
Dividend_Yield,20221031,0.08532208225127187
Dividend_Yield,20221130,0.011969888198871535
Dividend_Yield,20221230,-0.01686475187959887
Dividend_Yield,20230131,0.03825029782882686
Dividend_Yield,20230228,-0.00951934810481557
Dividend_Yield,20230331,0.07745198181598445
Dividend_Yield,20230428,-0.044828830863380464
Dividend_Yield,20230531,-0.007214080259437726
Dividend_Yield,20230630,0.0894683266072353
Dividend_Yield,20230731,0.013493620258609312
Dividend_Yield,20230831,0.012436382681295644
Dividend_Yield,20230928,-0.015709152553472824
Dividend_Yield,20231031,0.02822128606489336
Dividend_Yield,20231130,0.08079000409474102
Dividend_Yield,20231229,0.15047594497022815
Dividend_Yield,20240131,-0.04460363209949854
Dividend_Yield,20240229,-0.010388446191887737
Dividend_Yield,20240329,0.058878986970651775
Dividend_Yield,20240430,0.017177696218627234
Dividend_Yield,20240531,0.0132112536090679
Dividend_Yield,20240628,-0.0400738246757055
Dividend_Yield,20240731,0.04130839022940938
Dividend_Yield,20240830,-0.12223914381421136
Dividend_Yield,20240930,-0.008783003809983259
Dividend_Yield,20241031,-0.021378077530298092
Dividend_Yield,20241129,0.08710378033525532
Dividend_Yield,20241231,-0.04917216198965421
Dividend_Yield,20250127,-0.0574022097807739
Dividend_Yield,20250228,0.05122905357400104
Dividend_Yield,20250331,-0.01857588250601366
Dividend_Yield,20250430,0.030138528863336542
Dividend_Yield,20250530,-0.06936418157538532
Dividend_Yield,20250630,-0.002009949520858756
Dividend_Yield,20250731,-0.09716213610799253
Dividend_Yield,20250829,0.009266841984349093
Dividend_Yield,20250930,0.04491712562962735
Dividend_Yield,20251031,0.015598008794397523
Dividend_Yield,20251128,-0.07346938367485502
Dividend_Yield,20251231,-0.02034373725259487
Dividend_Yield,20260130,-0.013553027018963631
Dividend_Yield,20260227,0.062018766375415126
Dividend_Yield,20260331,-0.14190336821452126
Dividend_Yield,20260430,-0.008525778352306841
Dividend_Yield,20260529,-0.20740674797466307
Dividend_Yield,20260630,0.09657881214737936
Gross_Margin,20220128,-0.024155470716826957
Gross_Margin,20220228,-0.01121968620384308
Gross_Margin,20220331,0.002300709654897315
Gross_Margin,20220429,-0.03893169159074515
Gross_Margin,20220531,0.010044523580276937
Gross_Margin,20220630,-0.04260235678246187
Gross_Margin,20220729,-0.006161290253965435
Gross_Margin,20220831,0.011920248306522024
Gross_Margin,20220930,0.09739893735838673
Gross_Margin,20221031,-0.04935563074026435
Gross_Margin,20221130,0.014185996384677876
Gross_Margin,20221230,0.014451255222949148
Gross_Margin,20230131,0.02189586755627841
Gross_Margin,20230228,0.030388892704337186
Gross_Margin,20230331,0.029538759624682654
Gross_Margin,20230428,0.006611554517144675
Gross_Margin,20230531,-0.05204159350595224
Gross_Margin,20230630,-0.05250136202252942
Gross_Margin,20230731,0.019951466524597283
Gross_Margin,20230831,0.009412069630785573
Gross_Margin,20230928,-0.02153211875708865
Gross_Margin,20231031,0.018514877822775624
Gross_Margin,20231130,-0.023101570315305707
Gross_Margin,20231229,-0.024250000868459937
Gross_Margin,20240131,0.05584630426728759
Gross_Margin,20240229,-0.04836529529595908
Gross_Margin,20240329,0.01947237615652738
Gross_Margin,20240430,-0.014263587982370318
Gross_Margin,20240531,0.00669384908346872
Gross_Margin,20240628,-0.02161430873000014
Gross_Margin,20240731,-0.004247538788598466
Gross_Margin,20240830,0.08078214104599124
Gross_Margin,20240930,-0.0967544494388599
Gross_Margin,20241031,0.002924265385298816
Gross_Margin,20241129,0.015164208489633346
Gross_Margin,20241231,0.019928089460781062
Gross_Margin,20250127,-0.006219942786211297
Gross_Margin,20250228,0.0323519985524183
Gross_Margin,20250331,-0.016684749037154088
Gross_Margin,20250430,0.02000616931845035
Gross_Margin,20250530,-0.028924751932488023
Gross_Margin,20250630,0.03746460301292721
Gross_Margin,20250731,0.003932582381866334
Gross_Margin,20250829,-0.04962460855824473
Gross_Margin,20250930,-0.024438706315782023
Gross_Margin,20251031,-0.03578036380219851
Gross_Margin,20251128,0.0052872250681813195
Gross_Margin,20251231,-0.02111043294993845
Gross_Margin,20260130,-0.07088084948465821
Gross_Margin,20260227,0.02437952033090337
Gross_Margin,20260331,-0.05868524874415641
Gross_Margin,20260430,-0.00644339043107376
Gross_Margin,20260529,0.04752027556703985
Gross_Margin,20260630,0.010306259942120376
Holder_Concen,20220128,-0.03637255862987025
Holder_Concen,20220228,-0.04128325944243135
Holder_Concen,20220331,0.013287054234732337
Holder_Concen,20220429,-0.00581172246686644
Holder_Concen,20220531,-0.0010470254922861633
Holder_Concen,20220630,-0.0026703564469865923
Holder_Concen,20220729,-0.013012627645268303
Holder_Concen,20220831,-0.003610404572392076
Holder_Concen,20220930,-0.0009808756607059405
Holder_Concen,20221031,-0.030326927113031227
Holder_Concen,20221130,-0.021513657159056156
Holder_Concen,20221230,0.013922993797621505
Holder_Concen,20230131,-0.004704826157612488
Holder_Concen,20230228,-0.005222261411140423
Holder_Concen,20230331,0.015924465429072297
Holder_Concen,20230428,0.009046826770598614
Holder_Concen,20230531,-0.011473066719304079
Holder_Concen,20230630,-0.0017606007501735866
Holder_Concen,20230731,0.02090178392810757
Holder_Concen,20230831,-0.025522918808050115
Holder_Concen,20230928,-0.010177503260667081
Holder_Concen,20231031,0.030577464753589537
Holder_Concen,20231130,0.056348812978871086
Holder_Concen,20231229,0.01090436859377547
Holder_Concen,20240131,-0.00474084120016989
Holder_Concen,20240229,-0.014383389544582577
Holder_Concen,20240329,0.016312437416484773
Holder_Concen,20240430,0.019928931854786364
Holder_Concen,20240531,0.0027073948321086824
